node,name,rw_betweenness
720575940621587396,FB.516,0.002972
720575940603731168,FB.331,0.002969
720575940621731475,FB.627,0.002966
720575940629112579,NO.FB.1,0.002963
720575940643745480,FB.288,0.002961
720575940627723338,FB.476,0.00296
720575940617501533,FB.405,0.00296
720575940634062328,FB.820,0.002952
720575940633741613,FB.314,0.00295
720575940606731529,FB.712,0.002945
720575940643829284,FB.364,0.002945
720575940632735545,FB.378,0.002935
720575940618963694,FB.693,0.00293
720575940612599013,FB.408,0.002929
720575940626469898,FB.436,0.002927
720575940612694568,FB.321,0.002914
720575940625556611,FB.532,0.002914
720575940632862177,FB.228,0.002908
720575940626793871,FB.453,0.002903
720575940613505703,FB.407,0.002897
720575940609648226,AOTU.FB.49,0.002894
720575940636212964,FB.666,0.002891
720575940631620689,FB.785,0.002887
720575940623088565,FB.1102,0.002882
720575940633173668,FB.201,0.002877
720575940616511813,FB.409,0.002875
720575940628708624,FB.686,0.002875
720575940613005937,FB.617,0.002874
720575940625703824,FB.183,0.00287
720575940621393573,FB.287,0.002869
720575940639322752,FB.221,0.002867
720575940604798910,FB.780,0.002856
720575940619082405,FB.907,0.00285
720575940623279357,FB.550,0.00285
720575940609079854,SMP.FB.15,0.002846
720575940625805906,AOTU.FB.27,0.002839
720575940629899628,FB.968,0.002837
720575940613762207,FB.630,0.002837
720575940624730638,FB.271,0.002826
720575940616330267,FB.491,0.002826
720575940603048108,FB.363,0.002821
720575940608328387,FB.226,0.002811
720575940633057762,FB.324,0.00281
720575940627038792,FB.234,0.002806
720575940616828969,FB.570,0.002802
720575940624940336,FB.559,0.002802
720575940629606475,FB.LAL.37,0.0028
720575940618198977,NO.FB.18,0.002799
720575940619259271,FB.348,0.002795
720575940606723081,FB.593,0.002793
720575940614018722,FB.279,0.002791
720575940622136129,FB.848,0.002784
720575940634221935,FB.367,0.002779
720575940602920364,FB.545,0.002773
720575940625899751,FB.863,0.002773
720575940630335596,FB.701,0.002769
720575940611468185,FB.944,0.002754
720575940630020409,FB.531,0.00275
720575940612107762,FB.411,0.002744
720575940616764731,FB.LAL.40,0.002743
720575940644492055,FB.332,0.002739
720575940615687380,FB.628,0.002726
720575940625863690,FB.739,0.002717
720575940616983862,FB.443,0.002704
720575940631839827,SMP.FB.9,0.002702
720575940624449428,FB.597,0.002701
720575940622125153,FB.455,0.002699
720575940647317113,AOTU.FB.50,0.002695
720575940627777527,FB.623,0.002684
720575940617787550,FB.873,0.002683
720575940623310780,FB.498,0.002677
720575940613090710,AOTU.FB.16,0.00267
720575940617801675,FB.568,0.002667
720575940622899453,FB.722,0.00266
720575940618733377,AOTU.FB.11,0.00266
720575940626356648,FB.917,0.002657
720575940622713638,FB.656,0.002642
720575940629699781,FB.326,0.002638
720575940628078908,AOTU.FB.39,0.002636
720575940623902307,FB.867,0.002631
720575940630019385,FB.736,0.002628
720575940634066424,FB.368,0.002623
720575940629196283,FB.882,0.002623
720575940629000603,FB.244,0.002621
720575940614546911,FB.406,0.00262
720575940610603214,FB.778,0.002616
720575940622683491,FB.508,0.002615
720575940610051733,CRE.FB.4,0.002613
720575940610070626,SLP.FB.6,0.00261
720575940629836611,FB.881,0.002609
720575940604067761,FB.632,0.002603
720575940653347830,FB.478,0.002603
720575940618463960,FB.529,0.002602
720575940626196732,FB.202,0.002601
720575940623815155,FB.655,0.0026
720575940621088536,NO.FB.11,0.002597
720575940622234326,FB.LAL.24,0.002593
720575940617812273,SMP.FB.22,0.002592
720575940633792595,FB.313,0.002581
720575940613605698,FB.389,0.002568
720575940629424202,FB.590,0.002562
720575940644047908,FB.483,0.00256
720575940631572305,FB.302,0.002558
720575940631151663,FB.LAL.14,0.002552
720575940651565558,FB.573,0.002549
720575940614336106,FB.629,0.002546
720575940616856645,FB.607,0.002544
720575940634489592,FB.733,0.002536
720575940620492373,CRE.FB.6,0.002533
720575940625535621,FB.484,0.002529
720575940620428225,CRE.FB.3,0.002522
720575940627342211,FB.864,0.002519
720575940620932813,FB.768,0.002519
720575940619060289,FB.1063,0.002518
720575940625938856,FB.738,0.002518
720575940623164856,FB.846,0.002517
720575940627228328,FB.789,0.002513
720575940606933634,FB.572,0.002509
720575940618468957,FB.410,0.002507
720575940633515420,FB.333,0.002505
720575940646796932,SLP.142,0.002505
720575940619104027,FB.490,0.002504
720575940628628987,FB.203,0.0025
720575940604074174,FB.600,0.002499
720575940630892344,FB.622,0.002493
720575940608312924,FB.457,0.002491
720575940620760429,FB.486,0.002488
720575940626371898,FB.842,0.002485
720575940618590923,FB.1010,0.002481
720575940627460337,FB.653,0.00248
720575940619196398,FB.793,0.002478
720575940621512291,FB.658,0.002476
720575940615965323,FB.616,0.002475
720575940614413106,FB.673,0.002469
720575940609663442,FB.CRE.4,0.002468
720575940629860683,FB.801,0.002467
720575940621231459,FB.849,0.002467
720575940631483167,FB.700,0.002465
720575940612692963,FB.663,0.002464
720575940636413176,EB.221,0.002463
720575940637242421,FB.392,0.002457
720575940623712656,FB.560,0.002447
720575940614638011,FB.647,0.002444
720575940636969182,FB.683,0.002444
720575940615183755,NO.FB.25,0.002434
720575940630019323,NO.FB.12,0.002433
720575940641567885,FB.680,0.002433
720575940612689645,FB.563,0.002425
720575940618177739,FB.757,0.002413
720575940621613508,CRE.FB.14,0.002413
720575940617241019,FB.289,0.002409
720575940637912739,FB.819,0.002407
720575940631639972,FB.354,0.002406
720575940623430621,FB.LAL.15,0.002402
720575940612243918,CRE.FB.5,0.002399
720575940624562952,NO.FB.17,0.002397
720575940622943731,FB.561,0.002394
720575940612925078,FB.554,0.002389
720575940633537823,FB.823,0.002382
720575940630427340,FB.1059,0.00238
720575940622016169,CRE.FB.2,0.002374
720575940613152175,CRE.FB.9,0.002373
720575940637674915,FB.1044,0.002373
720575940620129694,FB.454,0.002373
720575940658531713,FB.546,0.00237
720575940621496956,NO.99,0.002364
720575940630764359,FB.717,0.002363
720575940641239181,FB.681,0.002359
720575940618388615,FB.831,0.002359
720575940612421101,FB.729,0.002353
720575940633412971,FB.783,0.002352
720575940635395429,FB.913,0.002352
720575940604444081,FB.535,0.002349
720575940641557133,FB.877,0.002347
720575940618651608,FB.614,0.002347
720575940635038309,FB.530,0.002346
720575940632339682,NO.FB.10,0.002343
720575940621176564,FB.479,0.00234
720575940618995541,FB.481,0.002338
720575940635568480,FB.980,0.002337
720575940631863583,FB.301,0.002335
720575940622069347,FB.541,0.002332
720575940619322221,FB.474,0.00233
720575940612599533,FB.510,0.00233
720575940622087816,FB.887,0.002329
720575940622941447,SMP.FB.23,0.002325
720575940623466632,EB.126,0.002321
720575940616200298,FB.792,0.002318
720575940615193138,FB.599,0.002317
720575940630696399,FB.429,0.002316
720575940631729720,FB.401,0.002316
720575940627446090,CRE.FB.15,0.00231
720575940622438634,FB.540,0.002309
720575940631004728,FB.506,0.002307
720575940626408177,FB.441,0.002306
720575940661139073,FB.480,0.002302
720575940630900983,FB.923,0.0023
720575940623539976,FB.345,0.002293
720575940626533714,FB.669,0.002289
720575940626375305,FB.468,0.002287
720575940621838826,FB.657,0.002284
720575940641591248,FB.742,0.002275
720575940633924653,FB.674,0.002274
720575940627653114,EB.80,0.002271
720575940618744047,FB.613,0.002271
720575940626429383,FB.624,0.002271
720575940607837707,FB.711,0.002266
720575940626304936,FB.687,0.002264
720575940619100180,FB.387,0.002262
720575940612922339,FB.482,0.00226
720575940628999929,FB.753,0.002257
720575940613348271,FB.648,0.002253
720575940637804915,FB.451,0.002249
720575940639468789,FB.584,0.002247
720575940626090782,FB.767,0.002245
720575940615961739,FB.1066,0.002244
720575940638113085,FB.1017,0.002243
720575940628458812,FB.718,0.002243
720575940609913646,FB.582,0.002243
720575940614939990,FB.745,0.002239
720575940631100124,FB.1034,0.002239
720575940625816212,FB.874,0.002239
720575940634046399,FB.837,0.002238
720575940619376577,CRE.FB.1,0.002238
720575940626471957,FB.LAL.38,0.002236
720575940616819345,FB.342,0.002235
720575940615921803,CRE.FB.36,0.002219
720575940630591506,FB.638,0.002219
720575940637455593,FB.434,0.002215
720575940613151911,SMP.FB.32,0.002214
720575940623808526,FB.936,0.002214
720575940629372747,FB.787,0.002213
720575940608702475,FB.465,0.002213
720575940624103399,FB.579,0.002209
720575940619141405,FB.810,0.002209
720575940622897917,CRE.FB.17,0.002208
720575940623801125,FB.741,0.002204
720575940627798654,FB.804,0.002204
720575940630941783,FB.373,0.002204
720575940621765467,CRE.FB.10,0.002202
720575940625144604,FB.470,0.0022
720575940630504991,FB.1095,0.002198
720575940650870774,FB.650,0.002196
720575940623325932,FB.955,0.002195
720575940635223152,FB.556,0.002195
720575940630087030,FB.588,0.002194
720575940633173412,FB.352,0.002193
720575940606683228,FB.649,0.002193
720575940629757496,FB.668,0.002192
720575940610440049,FB.676,0.002191
720575940625649726,FB.1099,0.002187
720575940625968515,FB.526,0.002178
720575940619293622,FB.691,0.002168
720575940616811584,FB.726,0.002164
720575940645927812,FB.896,0.002163
720575940623154407,FB.826,0.002161
720575940615706966,FB.646,0.002153
720575940604842924,EB.150,0.002149
720575940621076144,FB.MB_ML.17,0.002148
720575940616973313,FB.489,0.002147
720575940611185123,FB.795,0.002144
720575940627557909,FB.334,0.002137
720575940615673949,FB.1052,0.002137
720575940617828731,NO.EB.3,0.002136
720575940622252865,FB.377,0.002134
720575940625131913,NO.FB.50,0.002133
