Id,Label,cell_class,nt_type,primary_type,side,super_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,modularity_class
720575940619226689,FB.889,CX,ACH,vDeltaF,right,central,14,26,40,170,290,460,0.31441,291.438804,0
720575940620314304,FB.769,CX,ACH,vDeltaF,right,central,21,28,49,265,354,619,0.306703,451.47808,0
720575940620632652,FB.725,CX,ACH,vDeltaI_a,right,central,23,22,45,302,261,563,0.306564,1132.783157,0
720575940620700886,FB.808,CX,ACH,vDeltaI_a,right,central,22,27,49,235,318,553,0.315585,3043.508456,0
720575940621586628,FB.937,CX,ACH,vDeltaI_b,left,central,17,20,37,176,181,357,0.300341,685.866551,0
720575940622069347,FB.541,CX,ACH,FS1A,right,central,42,14,56,472,96,568,0.317811,16577.958689,3
720575940622392299,FB.791,CX,ACH,vDeltaG,left,central,11,27,38,199,343,542,0.311606,268.08136,0
720575940622471721,FB.97,CX,ACH,hDeltaH,right,central,123,55,178,2067,1313,3380,0.319666,15584.971443,0
720575940624166949,FB.625,CX,ACH,vDeltaF,left,central,25,32,57,325,374,699,0.309986,852.080459,0
720575940624583708,FB.654,CX,ACH,vDeltaI_a,right,central,29,28,57,339,340,679,0.309797,2346.679223,0
720575940626609128,FB.766,CX,ACH,vDeltaI_a,right,central,19,24,43,224,297,521,0.310556,747.989916,0
720575940627269562,FB.906,CX,unknown,vDeltaI_b,left,central,22,19,41,217,193,410,0.299763,1034.76984,0
720575940627460337,FB.653,CX,ACH,vDeltaF,left,central,24,31,55,282,394,676,0.325727,1880.870847,0
720575940628320515,FB.764,CX,ACH,vDeltaF,left,central,26,21,47,324,306,630,0.288459,508.629435,0
720575940628458812,FB.718,CX,ACH,vDeltaF,right,central,25,26,51,355,383,738,0.312038,1245.414887,0
720575940628567034,FB.639,CX,unknown,vDeltaI_a,right,central,29,20,49,334,250,584,0.301682,1460.546714,0
720575940628695034,FB.1150,CX,unknown,vDeltaI_b,left,central,9,18,27,71,144,215,0.302673,704.711603,0
720575940628764268,FB.883,CX,ACH,vDeltaG,right,central,11,21,32,176,271,447,0.312567,260.239337,0
720575940628990713,FB.702,CX,ACH,vDeltaG,right,central,16,28,44,198,374,572,0.31368,773.159762,0
720575940629202681,FB.1023,CX,ACH,vDeltaI_b,left,central,21,11,32,213,137,350,0.297825,1127.077458,0
720575940629827907,FB.762,CX,ACH,vDeltaG,left,central,16,26,42,215,306,521,0.326567,559.731234,0
720575940629955915,FB.684,CX,ACH,vDeltaG,left,central,22,26,48,283,376,659,0.313002,988.884412,0
720575940629983884,FB.1074,CX,unknown,vDeltaI_a,right,central,21,12,33,157,106,263,0.293131,574.89823,0
720575940630087030,FB.588,CX,ACH,vDeltaI_a,left,central,25,30,55,329,391,720,0.313534,2118.052504,0
720575940631303212,FB.671,CX,ACH,vDeltaG,left,central,22,21,43,230,272,502,0.308289,826.658373,0
720575940631372845,FB.1093,CX,ACH,vDeltaI_b,right,central,19,8,27,175,86,261,0.283774,1068.68474,0
720575940632074521,FB.735,CX,ACH,vDeltaF,left,central,14,30,44,236,325,561,0.316175,522.906423,0
720575940632934355,FB.838,CX,unknown,vDeltaI_a,right,central,25,17,42,245,165,410,0.297432,619.70202,0
720575940633437176,FB.51,CX,ACH,hDeltaH,left,central,149,57,206,2623,1332,3955,0.294024,9264.690584,0
720575940634809230,FB.1090,CX,unknown,vDeltaI_a,left,central,20,11,31,187,104,291,0.293343,509.434911,0
720575940636191977,FB.651,CX,ACH,vDeltaG,right,central,18,32,50,244,347,591,0.317264,800.390367,0
720575940638857424,FB.731,CX,ACH,vDeltaI_a,left,central,20,24,44,219,294,513,0.30923,967.680515,0
720575940640164029,FB.775,CX,ACH,vDeltaF,right,central,24,24,48,302,325,627,0.296953,506.679195,0
720575940641715144,FB.876,CX,unknown,vDeltaI_a,left,central,21,20,41,232,220,452,0.302537,711.284305,0
720575940643259336,FB.634,CX,ACH,vDeltaI_a,left,central,25,27,52,272,273,545,0.308008,926.752005,0
720575940643408164,FB.92,CX,ACH,hDeltaH,left,central,133,47,180,2215,1222,3437,0.301144,7300.363395,0
720575940605480806,FB.136,CX,GLUT,FB6W,left,central,67,65,132,626,985,1611,0.316077,4421.916352,0
720575940620156795,FB.272,CX,ACH,FC2B,left,central,87,12,99,1575,165,1740,0.306332,1722.138842,0
720575940621050228,FB.210,CX,GLUT,FB5O,right,central,32,71,103,308,1011,1319,0.310081,1967.117786,0
720575940622156148,FB.MB_ML.3,CX,SER,PFR,left,central,81,22,103,1398,261,1659,0.315535,4182.382444,3
720575940637558618,FB.399,CX,ACH,FC2B,left,central,66,12,78,913,150,1063,0.304629,1430.225086,0
720575940621255011,FB.827,CX,ACH,vDeltaE,right,central,22,26,48,303,327,630,0.299719,782.175123,0
720575940618746491,FB.MB_ML.7,CX,unknown,PFR,right,central,63,18,81,1105,264,1369,0.312857,3613.441717,3
720575940622366540,FB.707,CX,SER,FB6N,right,central,21,28,49,135,431,566,0.290693,638.211109,0
720575940624077517,FB.184,CX,GLUT,FB5AA,right,central,58,61,119,520,882,1402,0.32195,5059.219497,0
720575940624611018,FB.395,CX,ACH,FC2B,right,central,69,8,77,925,107,1032,0.305916,1941.931152,0
720575940635869541,FB.1219,CX,ACH,vDeltaL,right,central,9,10,19,82,87,169,0.27157,75.07232,3
720575940617387732,FB.14,CX,GABA,FB4H,left,central,112,180,292,992,3094,4086,0.31831,46905.539405,3
720575940622265525,FB.1078,CX,ACH,vDeltaK,right,central,17,9,26,147,104,251,0.275109,401.294921,3
720575940626858831,FB.1169,CX,ACH,vDeltaJ,right,central,9,10,19,100,66,166,0.291907,136.779304,3
720575940629272850,FB.1168,CX,ACH,vDeltaL,right,central,13,8,21,134,120,254,0.280321,316.00704,3
720575940634145436,FB.142,CX,GLUT,FB4P_a,right,central,74,69,143,766,794,1560,0.331209,13867.585,3
720575940608702475,FB.465,CX,GLUT,FB5R,right,central,49,29,78,729,499,1228,0.294365,1866.02991,0
720575940610160789,FB.817,CX,ACH,vDeltaE,right,central,19,22,41,251,253,504,0.296172,462.559366,0
720575940611396835,PB.20,CX,ACH,PEG,right,central,6,4,10,33,33,66,0.272593,793.061194,3
720575940611851506,FB.1114,CX,unknown,FS2,right,central,18,2,20,160,11,171,0.22309,90.529353,2
720575940612053106,FB.502,CX,GLUT,FB6,left,central,45,31,76,512,400,912,0.27307,844.476894,2
720575940613605698,FB.389,CX,GLUT,FB5R,left,central,47,29,76,823,591,1414,0.292328,672.713846,0
720575940614546911,FB.406,CX,GLUT,FB5R,left,central,56,30,86,921,457,1378,0.292581,1265.531711,0
720575940616973313,FB.489,CX,GLUT,FB5S,right,central,37,30,67,636,563,1199,0.292412,1115.805635,0
720575940617296155,FB.1328,CX,SER,FC2C,left,central,10,3,13,80,21,101,0.294152,138.958536,0
720575940618225067,FB.756,CX,ACH,vDeltaE,right,central,22,22,44,257,292,549,0.283298,470.380571,0
720575940618463960,FB.529,CX,ACH,FC2B,left,central,53,9,62,654,119,773,0.301144,949.389721,0
720575940618468957,FB.410,CX,GLUT,FB6,left,central,53,31,84,658,484,1142,0.273107,2085.838142,2
720575940618884299,FB.870,CX,ACH,vDeltaE,left,central,15,21,36,188,262,450,0.303489,174.271705,0
720575940619111846,FB.606,CX,GLUT,FB6,left,central,37,18,55,442,111,553,0.269727,1616.225054,2
720575940620156326,FB.509,CX,GLUT,FB5S,right,central,38,31,69,620,504,1124,0.29275,2983.055601,0
720575940621975081,FB.358,CX,DA,PFR,right,central,78,35,113,1375,335,1710,0.344845,8427.032302,3
720575940622051818,FB.SMP.14,CX,ACH,FS2,right,central,21,3,24,193,15,208,0.246624,674.540278,2
720575940622125153,FB.455,CX,GLUT,FB5R,left,central,48,34,82,719,489,1208,0.302041,2906.279759,0
720575940622846099,FB.847,CX,ACH,vDeltaE,left,central,20,21,41,250,314,564,0.27714,448.948935,0
720575940623131319,FB.755,CX,ACH,vDeltaE,left,central,22,23,45,290,289,579,0.296302,730.112684,0
720575940623784231,FB.264,CX,unknown,FC2B,right,central,86,11,97,1284,146,1430,0.304263,2763.627613,0
720575940623815155,FB.655,CX,ACH,FC2C,right,central,38,9,47,480,78,558,0.301368,2329.638286,2
720575940624700674,FB.884,CX,ACH,vDeltaE,right,central,18,19,37,255,267,522,0.274141,133.229261,0
720575940625637562,FB.263,CX,unknown,FC2B,right,central,92,9,101,1377,152,1529,0.30408,2335.614121,0
720575940625968515,FB.526,CX,GLUT,FB5R,left,central,39,28,67,701,601,1302,0.292075,948.791751,0
720575940626375305,FB.468,CX,GLUT,FB5S,left,central,44,29,73,639,527,1166,0.287803,5172.882048,2
720575940626469898,FB.436,CX,GLUT,FB5R,right,central,40,39,79,789,497,1286,0.300118,2191.2656,0
720575940626793871,FB.453,CX,GLUT,FB5S,left,central,50,26,76,850,418,1268,0.288008,1697.655659,0
720575940626798480,FB.388,CX,GLUT,FB5S,right,central,62,24,86,1011,358,1369,0.270628,4135.425634,2
720575940626814666,FB.487,CX,GLUT,FB5R,right,central,38,27,65,633,465,1098,0.295653,723.881593,0
720575940628675948,FB.954,CX,ACH,vDeltaE,left,central,18,16,34,206,198,404,0.273549,280.274748,2
720575940629079084,FB.1277,CX,unknown,FS2,right,central,18,1,19,157,6,163,0.223533,7.941723,0
720575940629342479,FB.281,CX,GLUT,FB5G,right,central,44,31,75,315,702,1017,0.325937,2585.922931,0
720575940629423580,FB.CRE.75,CX,ACH,FS2,right,central,17,1,18,147,6,153,0.229091,13.692715,0
720575940629552633,FB.763,CX,DA,FB5R,left,central,29,10,39,316,80,396,0.274885,166.824775,0
720575940631004728,FB.506,CX,SER,FC2B,right,central,49,12,61,621,134,755,0.336879,7875.532449,0
720575940632424011,FB.565,CX,GLUT,FB5R,left,central,41,28,69,642,529,1171,0.298439,1361.071541,0
720575940635530359,FB.214,CX,ACH,FC2B,left,central,104,7,111,1730,123,1853,0.300163,3303.148975,0
720575940635990640,FB.LAL.1,CX,ACH,PFL2,right,central,92,2,94,1188,4,1192,0.206458,92.724089,0
720575940636735198,FB.466,CX,ACH,FC2B,left,central,63,8,71,913,100,1013,0.302673,2373.117648,0
720575940651558646,FB.633,CX,GLUT,FB5S,left,central,33,17,50,511,139,650,0.277291,614.291096,0
720575940610919778,FB.154,CX,GLUT,FB5D,left,central,76,65,141,663,728,1391,0.342283,16166.529947,0
720575940617244347,FB.36,CX,unknown,FB4Y,right,central,121,129,250,1244,1231,2475,0.372679,67917.687926,3
720575940624863516,FB.844,CX,DA,PFR,left,central,40,20,60,416,136,552,0.303398,533.718897,3
720575940625880472,FB.547,CX,DA,PFR,right,central,59,24,83,833,207,1040,0.320474,4692.261146,3
720575940627730206,FB.488,CX,DA,PFGs,right,central,67,25,92,1028,252,1280,0.31851,4549.917536,3
720575940632402588,FB.459,CX,DA,PFR_a,left,central,73,16,89,1021,177,1198,0.310794,4857.512474,3
720575940638310784,FB.636,CX,ACH,FC1A,left,central,23,33,56,273,330,603,0.299365,697.905012,1
720575940604444081,FB.535,CX,unknown,FB2I_a,left,central,27,35,62,553,618,1171,0.330777,704.799327,1
720575940611263602,FB.832,CX,ACH,FC1C,right,central,21,18,39,173,155,328,0.296432,1186.008995,1
720575940612272424,FB.LAL.46,CX,ACH,PFL1,left,central,34,2,36,412,2,414,0.247105,39.094437,1
720575940615650009,FB.993,CX,ACH,FC1D,left,central,20,17,37,152,185,337,0.293981,256.01928,1
720575940615748025,FB.645,CX,unknown,FB2I_a,right,central,29,31,60,562,502,1064,0.324996,836.81686,1
720575940619271344,FB.991,CX,ACH,FC1D,left,central,19,17,36,144,198,342,0.292792,2550.079084,1
720575940620339438,FB.829,CX,ACH,FC1C,left,central,21,15,36,174,145,319,0.329593,2038.222453,1
720575940623044327,FB.743,CX,ACH,FC1D,left,central,22,19,41,178,186,364,0.301772,1241.289842,1
720575940623175969,FB.856,CX,GLUT,FB2K,left,central,23,23,46,137,263,400,0.346555,2223.061461,0
720575940626471957,FB.LAL.38,CX,ACH,PFL1,right,central,42,2,44,554,2,556,0.266045,1404.91598,1
720575940630539335,FB.652,CX,GLUT,FB2C,left,central,28,45,73,166,322,488,0.353444,6920.446309,0
720575940630631736,FB.LAL.45,CX,ACH,PFL1,left,central,29,1,30,411,1,412,0.25152,66.691162,1
720575940631282247,LAL.FB.3,CX,GLUT,FB2K,right,central,10,19,29,57,224,281,0.347983,1147.292783,0
720575940631814085,FB.815,CX,DA,FB2I_a,left,central,26,24,50,472,411,883,0.321695,3689.172395,1
720575940636924479,FB.372,CX,DA,FB2A,left,central,49,63,112,471,535,1006,0.371927,30785.744165,1
720575940638055024,FB.SMP.23,CX,ACH,FB1B,right,central,19,40,59,116,318,434,0.333608,1619.567745,1
720575940645405060,FB.1310,CX,ACH,vDeltaM,right,central,5,6,11,34,39,73,0.250185,19.837003,3
720575940617716770,FB.1327,CX,ACH,vDeltaL,left,central,6,5,11,45,52,97,0.26311,79.100017,3
720575940627054988,FB.868,CX,ACH,vDeltaD,right,central,20,22,42,182,251,433,0.279741,576.009856,2
720575940624437735,FB.179,CX,GLUT,FB7G,right,central,65,58,123,520,694,1214,0.301547,3267.869877,2
720575940626138008,FB.294,CX,GLUT,FB7G,right,central,53,60,113,465,680,1145,0.303625,3264.574798,2
720575940628174415,FB.178,CX,GLUT,FB6B,right,central,65,86,151,478,820,1298,0.322104,4421.324304,2
720575940631086649,FB.637,CX,GLUT,FB7G,right,central,22,37,59,140,442,582,0.297301,721.389247,2
720575940603925280,FB.1213,CX,ACH,FS2,right,central,18,1,19,137,10,147,0.232748,7.568562,2
720575940626158223,FB.SMP.17,CX,ACH,FS3,left,central,18,2,20,141,12,153,0.244482,162.870336,4
720575940630849325,FB.440,CX,GLUT,FB6,right,central,51,29,80,546,396,942,0.271388,1480.012201,2
720575940661139073,FB.480,CX,GLUT,FB5R,right,central,44,30,74,675,530,1205,0.301457,1914.654037,0
720575940629076473,FB.134,CX,ACH,hDeltaM,right,central,106,43,149,1860,651,2511,0.325205,6165.407052,0
720575940621074835,EB.159,CX,ACH,PEN_a/PEN1,left,central,1,4,5,1,4,5,0.229091,15.527778,3
720575940615177099,EB.140,CX,ACH,PEN_b/PEN2,left,central,4,7,11,4,14,18,0.293768,6580.235568,3
720575940625021796,EB.138,CX,ACH,PEN_b/PEN2,left,central,4,7,11,4,13,17,0.269333,7563.219371,3
720575940626137895,EB.33,CX,ACH,EPG,left,central,4,3,7,6,4,10,0.237911,7480.162503,3
720575940630666404,EB.144,CX,ACH,PEN_b/PEN2,right,central,2,3,5,2,3,5,0.250866,879.788945,3
720575940604064958,FB.962,CX,ACH,FC2C,left,central,24,10,34,256,62,318,0.300965,2395.131713,2
720575940613348271,FB.648,CX,ACH,FC2C,right,central,38,10,48,471,86,557,0.301368,1833.492306,2
720575940622461320,FB.386,CX,GLUT,FB7J,right,central,60,40,100,767,453,1220,0.303625,17026.845427,4
720575940630736170,FB.1000,CX,GLUT,FB8D,left,central,5,23,28,40,266,306,0.280243,242.486889,4
720575940631025219,FB.524,CX,ACH,FC2C,right,central,61,11,72,802,118,920,0.334158,14851.10065,2
720575940641557133,FB.877,CX,ACH,FC2C,left,central,30,8,38,377,57,434,0.300831,2365.184372,4
720575940602747360,FB.382,CX,ACH,hDeltaJ,left,central,68,19,87,644,287,931,0.319213,3261.948813,3
720575940609777476,FB.520,CX,GLUT,FB5X,right,central,25,36,61,261,419,680,0.312857,1022.556177,0
720575940618374558,FB.553,CX,GLUT,FB4Q_b,right,central,38,48,86,336,398,734,0.300563,1184.598912,0
720575940620760429,FB.486,CX,GLUT,FB5X,right,central,28,44,72,293,519,812,0.321033,1702.723424,0
720575940621176564,FB.479,CX,GLUT,FB5X,left,central,25,36,61,249,446,695,0.313583,1220.924382,0
720575940624730638,FB.271,CX,GLUT,FB5W,left,central,34,68,102,395,1161,1556,0.318061,1807.368473,0
720575940624754981,FB.LAL.5,CX,ACH,PFL2,left,central,80,3,83,962,4,966,0.284931,3707.801181,0
720575940626973821,FB.507,CX,GLUT,FB5X,left,central,34,42,76,357,441,798,0.313147,1108.718077,0
720575940627557909,FB.334,CX,GLUT,FB5X,left,central,23,49,72,190,560,750,0.349784,4085.577482,0
720575940631398308,FB.340,CX,GLUT,FB5X,right,central,25,44,69,202,518,720,0.357685,5931.81976,0
720575940631572305,FB.302,CX,GLUT,FB5W,right,central,26,60,86,313,841,1154,0.303125,1232.623694,0
720575940643177495,FB.248,CX,GLUT,FB5D,left,central,53,64,117,406,848,1254,0.349302,16992.993581,0
720575940609648942,FB.994,CX,GLUT,FB3B,left,central,9,19,28,79,210,289,0.320525,487.982693,1
720575940631255656,FB.800,CX,GLUT,FB3B,right,central,16,27,43,101,328,429,0.329379,2521.601461,1
720575940641306765,FB.595,CX,GLUT,FB3B,left,central,10,41,51,133,323,456,0.34508,3085.66293,1
720575940616913339,FB.SMP.1,CX,GLUT,FB8F_b,right,central,6,16,22,38,140,178,0.285212,98.472994,4
720575940624449428,FB.597,CX,GLUT,FB8I,left,central,16,30,46,111,350,461,0.28887,462.390273,4
720575940617241019,FB.289,CX,unknown,FB5K,right,central,54,64,118,417,1397,1814,0.328845,7012.022693,0
720575940606683228,FB.649,CX,unknown,hDeltaJ,right,central,33,27,60,361,428,789,0.322719,1093.856151,0
720575940615673949,FB.1052,CX,unknown,PFGs,left,central,30,8,38,374,101,475,0.289737,2045.557175,2
720575940616813858,FB.MB_ML.8,CX,unknown,PFR,right,central,64,16,80,1177,254,1431,0.302222,3527.279053,3
720575940629483735,FB.385,CX,DA,PFR,left,central,82,32,114,1371,312,1683,0.334931,5958.238499,3
720575940633442468,FB.MB_ML.5,CX,unknown,PFR,left,central,66,18,84,1387,330,1717,0.306147,5107.500162,3
720575940644658542,FB.390,CX,DA,PFR,left,central,69,42,111,1567,501,2068,0.34263,6548.224444,3
720575940603197408,FB.350,CX,GLUT,FB2E,left,central,29,63,92,401,666,1067,0.321033,850.904133,1
720575940605554354,FB.583,CX,unknown,FB2I_a,right,central,29,25,54,654,711,1365,0.301637,103.966798,1
