Source,Target,Type,Weight
720575940608278620,720575940639278399,Directed,23
720575940608278620,720575940639322752,Directed,19
720575940608278620,720575940639693008,Directed,8
720575940608278620,720575940639702435,Directed,13
720575940608278620,720575940640356149,Directed,10
720575940608278620,720575940640486973,Directed,11
720575940608278620,720575940640749939,Directed,27
720575940608278620,720575940641173376,Directed,26
720575940608278620,720575940641215104,Directed,16
720575940608278620,720575940641239181,Directed,16
720575940608278620,720575940641567885,Directed,16
720575940608278620,720575940641591248,Directed,15
720575940608278620,720575940643338020,Directed,5
720575940608278620,720575940643703588,Directed,47
720575940608278620,720575940645464099,Directed,4
720575940608278620,720575940650510070,Directed,8
720575940608278620,720575940651284726,Directed,6
720575940608278620,720575940653346550,Directed,15
720575940608278620,720575940653347830,Directed,10
720575940608278620,720575940658155393,Directed,14
720575940625301604,720575940604125105,Directed,6
720575940625301604,720575940604709920,Directed,12
720575940625301604,720575940608480836,Directed,6
720575940625301604,720575940609439698,Directed,7
720575940625301604,720575940611725738,Directed,12
720575940625301604,720575940612318673,Directed,11
720575940625301604,720575940612594855,Directed,5
720575940625301604,720575940612615917,Directed,5
720575940625301604,720575940612692963,Directed,9
720575940625301604,720575940612821997,Directed,6
720575940625301604,720575940612925078,Directed,6
720575940625301604,720575940613729695,Directed,5
720575940625301604,720575940613762207,Directed,8
720575940625301604,720575940614308283,Directed,9
720575940625301604,720575940615463825,Directed,8
720575940625301604,720575940615965323,Directed,5
720575940625301604,720575940616520517,Directed,6
720575940625301604,720575940616956673,Directed,7
720575940625301604,720575940617501533,Directed,13
720575940625301604,720575940617773865,Directed,9
720575940625301604,720575940617934576,Directed,5
720575940625301604,720575940618651608,Directed,7
720575940625301604,720575940619067374,Directed,55
720575940625301604,720575940619994294,Directed,6
720575940625301604,720575940620014356,Directed,9
720575940625301604,720575940620058537,Directed,9
720575940625301604,720575940620191777,Directed,6
720575940625301604,720575940620919646,Directed,46
720575940625301604,720575940621393573,Directed,8
720575940625301604,720575940622422711,Directed,7
720575940625301604,720575940622811116,Directed,8
720575940625301604,720575940622870666,Directed,8
720575940625301604,720575940623540557,Directed,6
720575940625301604,720575940623781268,Directed,5
720575940625301604,720575940623807932,Directed,7
720575940625301604,720575940625493604,Directed,7
720575940625301604,720575940625556611,Directed,6
720575940625301604,720575940625579141,Directed,9
720575940625301604,720575940626180358,Directed,6
720575940625301604,720575940626351256,Directed,5
720575940625301604,720575940627104259,Directed,9
720575940625301604,720575940627786270,Directed,15
720575940625301604,720575940627916410,Directed,5
720575940625301604,720575940628211244,Directed,7
720575940625301604,720575940628382203,Directed,9
720575940625301604,720575940628523819,Directed,5
720575940625301604,720575940628810071,Directed,8
720575940625301604,720575940628907524,Directed,7
720575940625301604,720575940629111035,Directed,10
720575940625301604,720575940630179781,Directed,5
720575940625301604,720575940630541416,Directed,6
720575940625301604,720575940630819599,Directed,5
720575940625301604,720575940630976568,Directed,8
720575940625301604,720575940631366483,Directed,9
720575940625301604,720575940631413156,Directed,12
720575940625301604,720575940631477677,Directed,14
720575940625301604,720575940631614675,Directed,6
720575940625301604,720575940631983277,Directed,5
720575940625301604,720575940632372380,Directed,5
720575940625301604,720575940632803223,Directed,18
720575940625301604,720575940634534255,Directed,15
720575940625301604,720575940634647732,Directed,13
720575940625301604,720575940635678942,Directed,5
720575940625301604,720575940636513784,Directed,6
720575940625301604,720575940636938212,Directed,67
720575940625301604,720575940637224937,Directed,6
720575940625301604,720575940637703750,Directed,5
720575940625301604,720575940637745853,Directed,5
720575940625301604,720575940638302592,Directed,7
720575940625301604,720575940638678131,Directed,7
720575940625301604,720575940642936100,Directed,8
720575940625301604,720575940643703588,Directed,9
720575940625301604,720575940643829284,Directed,7
720575940625301604,720575940644808227,Directed,6
720575940625301604,720575940644870167,Directed,8
720575940625301604,720575940653018017,Directed,8
720575940626382973,720575940605379506,Directed,11
720575940626382973,720575940619237985,Directed,7
720575940626382973,720575940639404416,Directed,10
720575940626382973,720575940639710883,Directed,5
720575940626382973,720575940640228661,Directed,9
720575940619141254,720575940602800608,Directed,5
720575940619141254,720575940603048108,Directed,30
720575940619141254,720575940604019424,Directed,39
720575940619141254,720575940604110513,Directed,11
720575940619141254,720575940607837707,Directed,61
720575940619141254,720575940607848649,Directed,24
720575940619141254,720575940608140380,Directed,22
720575940619141254,720575940608413705,Directed,9
720575940619141254,720575940610477425,Directed,6
720575940619141254,720575940610670250,Directed,54
720575940619141254,720575940610894450,Directed,5
720575940619141254,720575940612734066,Directed,17
720575940619141254,720575940612807830,Directed,15
720575940619141254,720575940612895650,Directed,33
720575940619141254,720575940612972693,Directed,22
720575940619141254,720575940613231313,Directed,17
720575940619141254,720575940613268370,Directed,17
720575940619141254,720575940613326250,Directed,10
720575940619141254,720575940613490841,Directed,8
720575940619141254,720575940613842700,Directed,11
720575940619141254,720575940614154786,Directed,8
720575940619141254,720575940614799154,Directed,17
720575940619141254,720575940615283771,Directed,12
720575940619141254,720575940615468703,Directed,15
720575940619141254,720575940615687380,Directed,25
720575940619141254,720575940615764061,Directed,64
720575940619141254,720575940615833055,Directed,55
720575940619141254,720575940616728038,Directed,47
720575940619141254,720575940617232017,Directed,36
720575940619141254,720575940617949861,Directed,40
720575940619141254,720575940618195510,Directed,7
720575940619141254,720575940618744047,Directed,6
720575940619141254,720575940618844757,Directed,15
720575940619141254,720575940619293622,Directed,5
720575940619141254,720575940619489088,Directed,31
720575940619141254,720575940619683311,Directed,10
720575940619141254,720575940619707728,Directed,14
720575940619141254,720575940619832188,Directed,6
720575940619141254,720575940620014203,Directed,73
720575940619141254,720575940620014356,Directed,16
720575940619141254,720575940620028795,Directed,222
720575940619141254,720575940620058537,Directed,8
720575940619141254,720575940620276400,Directed,11
720575940619141254,720575940620365812,Directed,7
720575940619141254,720575940620841310,Directed,37
720575940619141254,720575940621360264,Directed,6
720575940619141254,720575940621709388,Directed,62
720575940619141254,720575940621838826,Directed,20
720575940619141254,720575940622089195,Directed,18
720575940619141254,720575940622184189,Directed,10
720575940619141254,720575940623222542,Directed,13
720575940619141254,720575940623261703,Directed,5
720575940619141254,720575940623358099,Directed,13
720575940619141254,720575940623474412,Directed,8
720575940619141254,720575940623590221,Directed,18
720575940619141254,720575940623801125,Directed,37
720575940619141254,720575940623807672,Directed,12
720575940619141254,720575940624102670,Directed,16
720575940619141254,720575940624103399,Directed,18
720575940619141254,720575940624222014,Directed,71
720575940619141254,720575940624331722,Directed,9
720575940619141254,720575940626111527,Directed,8
720575940619141254,720575940626666345,Directed,9
720575940619141254,720575940627377346,Directed,10
720575940619141254,720575940627807994,Directed,11
720575940619141254,720575940628050950,Directed,20
720575940619141254,720575940628377856,Directed,45
720575940619141254,720575940629113388,Directed,6
720575940619141254,720575940629468739,Directed,7
720575940619141254,720575940629750138,Directed,5
720575940619141254,720575940630021115,Directed,9
720575940619141254,720575940630148655,Directed,67
720575940619141254,720575940630556743,Directed,8
720575940619141254,720575940630590255,Directed,7
720575940619141254,720575940630735378,Directed,7
720575940619141254,720575940630814762,Directed,55
720575940619141254,720575940630822175,Directed,60
720575940619141254,720575940630852300,Directed,30
720575940619141254,720575940631785441,Directed,8
720575940619141254,720575940631991507,Directed,28
720575940619141254,720575940632496938,Directed,10
720575940619141254,720575940632720279,Directed,5
720575940619141254,720575940632825913,Directed,104
720575940619141254,720575940633013412,Directed,21
720575940619141254,720575940633057762,Directed,10
720575940619141254,720575940633271447,Directed,18
720575940619141254,720575940633391211,Directed,17
720575940619141254,720575940633792595,Directed,18
720575940619141254,720575940634313071,Directed,16
720575940619141254,720575940634701025,Directed,16
720575940619141254,720575940634788600,Directed,14
720575940619141254,720575940635632023,Directed,85
720575940619141254,720575940636069348,Directed,14
720575940619141254,720575940636588724,Directed,16
720575940619141254,720575940636969182,Directed,12
720575940619141254,720575940638027497,Directed,75
720575940619141254,720575940639410291,Directed,66
720575940619141254,720575940639596507,Directed,26
