Id,Label,cell_class,name,nt_type,primary_type,side,super_class
720575940619060289,FB.1063,CX,FB.1063,ACH,vDeltaK,right,central
720575940637983814,FB.567,CX,FB.567,ACH,FC2C,left,central
720575940628218959,NO.139,CX,NO.139,ACH,PFNm,left,central
720575940631839827,SMP.FB.9,CX,SMP.FB.9,GLUT,FB6I,left,central
720575940627399783,FB.1318,CX,FB.1318,unknown,vDeltaJ,left,central
720575940619781229,NO.49,CX,NO.49,ACH,PFNa,right,central
720575940637066352,FB.620,CX,FB.620,GLUT,FB4Z,right,central
720575940615914613,FB.1011,CX,FB.1011,SER,vDeltaA_b,left,central
720575940629922934,FB.LAL.19,CX,FB.LAL.19,ACH,PFL2,left,central
720575940626973821,FB.507,CX,FB.507,GLUT,FB5X,left,central
720575940624827523,NO.23,CX,NO.23,ACH,PFNa,left,central
720575940618388615,FB.831,CX,FB.831,ACH,FC2C,right,central
720575940635427982,EB.45,CX,EB.45,ACH,EPG,left,central
720575940635640974,FB.232,CX,FB.232,GLUT,FB7L,right,central
720575940611425429,AOTU.FB.46,TuBu,AOTU.FB.46,ACH,TuBu09,right,central
720575940626351256,FB.CRE.16,CX,FB.CRE.16,ACH,FC1C,left,central
720575940641981600,FB.713,CX,FB.713,ACH,FC1A,left,central
720575940618781861,FB.924,CX,FB.924,ACH,FC1A,left,central
720575940620223659,FB.187,CX,FB.187,unknown,FB6M,left,central
720575940630840493,FB.43,CX,FB.43,GLUT,FB6H,right,central
720575940619994294,FB.659,CX,FB.659,ACH,vDeltaG,right,central
720575940633658559,NO.9,CX,NO.9,ACH,PFNa,left,central
720575940634772671,FB.1036,CX,FB.1036,unknown,FB1A,left,central
720575940608279747,FB.571,CX,FB.571,ACH,FC3,left,central
720575940611851506,FB.1114,CX,FB.1114,unknown,FS2,right,central
720575940628137222,CRE.FB.33,CX,CRE.FB.33,GLUT,FB4O,right,central
720575940621501720,FB.118,CX,FB.118,ACH,hDeltaM,right,central
720575940616324386,FB.1065,CX,FB.1065,unknown,vDeltaB,left,central
720575940640228661,FB.72,CX,FB.72,ACH,hDeltaA,right,central
720575940639278399,EB.3,CX,EB.3,GABA,ExR1,left,central
720575940629955915,FB.684,CX,FB.684,ACH,vDeltaG,left,central
720575940618437979,FB.852,CX,FB.852,ACH,vDeltaD,left,central
720575940617225565,FB.100,CX,FB.100,unknown,FB5L,left,central
720575940635395429,FB.913,CX,FB.913,GLUT,FB8I,right,central
720575940633412971,FB.783,CX,FB.783,SER,hDeltaK,right,central
720575940636345707,FB.278,CX,FB.278,GLUT,FB1I,right,central
720575940630087030,FB.588,CX,FB.588,ACH,vDeltaI_a,left,central
720575940639065472,FB.240,CX,FB.240,GLUT,CB4171,right,central
720575940618798470,NO.FB.55,CX,NO.FB.55,ACH,PFNm,right,central
720575940621616518,SMP.FB.45,CX,SMP.FB.45,GLUT,FB8I,right,central
720575940626793871,FB.453,CX,FB.453,GLUT,FB5S,left,central
720575940630644132,FB.967,CX,FB.967,ACH,vDeltaD,right,central
720575940613326250,FB.442,CX,FB.442,ACH,hDeltaI,right,central
720575940618225067,FB.756,CX,FB.756,ACH,vDeltaE,right,central
720575940618945985,SMP.FB.13,CX,SMP.FB.13,unknown,FB6C,left,central
720575940610147790,FB.1015,CX,FB.1015,unknown,vDeltaC,left,central
720575940615833055,FB.26,CX,FB.26,GLUT,FB4C,left,central
720575940610409957,FB.961,CX,FB.961,ACH,FC3,left,central
720575940619683311,FB.62,CX,FB.62,ACH,hDeltaH,right,central
720575940621485552,FB.1253,CX,FB.1253,ACH,vDeltaL,left,central
720575940622943731,FB.561,CX,FB.561,ACH,FC2B,left,central
720575940628628987,FB.203,CX,FB.203,GLUT,FB5J,left,central
720575940622599679,FB.346,CX,FB.346,unknown,FB6N,left,central
720575940628907524,FB.255,CX,FB.255,ACH,hDeltaC,right,central
720575940607837707,FB.711,CX,FB.711,SER,hDeltaK,left,central
